Station Name,Latitude,Longitude,EV Level2 EVSE Num
SIMON SANTA ROSA PLAZ,38.438569,-122.717175,1.0
Price Ford of Simi Valley,34.279371,-118.77795,1.0
Cornelia Public Parking,34.51211353496688,-83.52788570304106,2.0
WVC GARAGE LEVEL FOUR A,40.695421,-111.960596,2.0
EL SEGUNDO HOLLY ST 1,33.920839,-118.414942,2.0
LANDMARK STATION #1,42.00443,-71.494736,2.0
Tredyffrin Public Library,40.057,-75.403,2.0
Chateau Elan Winery & Resort - Tesla Destination,34.101297,-83.817654,8.0
Western Municipal Water District,33.911161,-117.290022,2.0
Fairfield Inn & Suites by Marriott Little Rock - Tesla Destination,34.5806529,-92.5819311,6.0
"Exit 14, Park and Ride",41.101628,-74.02813,2.0
CSP - Centre administratif Roberval,45.523376,-73.339185,2.0
765 Boulevard de la Carrière,45.452,-75.73083,2.0
Parc régional du Mont-Ham,45.779984,-71.643339,2.0
FLEET MGMT 5TH AVE 02,29.657351,-82.321047,1.0
Westboro Connection,45.395628,-75.749421,3.0
COMED S1-2,41.943947,-87.699755,2.0
UNMH PATS UNMH STATION 7,35.088426,-106.621946,2.0
SIMON LENOX SQUARE 3,33.845079,-84.361551,1.0
MIDLAND FFI FAIRFIELD INN,43.6119,-84.239975,2.0
COMED STATION #5,41.897191,-88.042837,2.0
IRVINE  CO  OFC UCIRP 111ACAD 2,33.648053,-117.854609,1.0
MIDTOWN DECK STN 8 P5 LEFT,35.209915,-80.83828,2.0
Glo Best Western Asheville,35.5863554833356,-82.5149049088925,1.0
4401 Lasalle,45.459904,-73.563449,2.0
Best Western Corvallis - Tesla Destination,44.583596,-123.258703,3.0
Circuit Court North - 2,28.041332,-82.739967,1.0
Riverfront Chalets & Rafting,48.95050552395728,-55.91247784054566,1.0
HILLSBORO OR EV-8,45.520533,-122.978089,2.0
CHARGING FLINTRIDGE ST1,38.90131,-104.769552,2.0
ELM PLACE ELM EV1,46.494686,-80.99279,2.0
CPU OPS 1,45.684889,-122.55334,1.0
Hilton Garden Inn South PaDre Island,26.138521,-97.170785,1.0
STEELYARD STATION 1,33.298856,-111.839192,2.0
ABM ELS STATION 8,37.695569,-121.9233,1.0
EVERGY @ROSANA SQ-305A,38.913758,-94.672156,2.0
University of Washington - Parking Area W40,47.6548806651459,-122.319211227533,4.0
EV 1- PUBLIC NON HAN,37.698001,-122.088746,2.0
CS CS EVC 25,43.827164,-79.53267,2.0
Pine Plains,41.979823,-73.656058,2.0
Geoscape Solar - 305 E Rio,38.981285,-74.820831,2.0
Creekside Business Park,38.9032,-121.083857,5.0
Mount Vernon Plaza,48.437167,-122.3369445,2.0
AMZ 3,33.805854,-118.333935,2.0
CONFERENCE CNTR STATION #6,33.143106,-117.25307,2.0
Metro Garage 1,39.405865,-76.778782,2.0
VOLVO CHARGERS SHOP 01,41.806658,-88.07576,1.0
MOUNTAIN GROVE STATION 4,34.074266,-117.20303,2.0
AMZ SEA40 - 1,47.615489,-122.338786,2.0
Méribec - Espace Palladium,46.79125,-71.287345,1.0
TCMC B GARAGE CENTENNIAL B7,36.152323,-86.807819,2.0
META MPK62-20,37.485336,-122.178367,2.0
McDonough Nissan,33.422762,-84.177682,1.0
Hilton Garden inn Akron/ Canton Airport - Tesla Destination,40.911037,-81.4287081,2.0
RCEA EV NETWORK ARCATA COMM 1,40.864445,-124.079752,2.0
Holiday Inn Express Orange Beach - Tesla Destination,30.26494,-87.603084,2.0
CVMD CVMD 3,36.825892,-119.698918,1.0
SACRAMENTO CHG-ROOF-1,38.580925,-121.49255,2.0
Pinckney Chrysler Dodge Jeep RAM,42.4599364008192,-83.9289367876944,1.0
BLACKRIVER JSH DUAL #1,47.471546,-122.232002,2.0
6028 Des Érables,45.54447,-73.59026,2.0
Aloft Austin Round Rock,30.4835479004735,-97.6543174389398,2.0
H-E-B #84,29.360048,-98.533021,2.0
Publix #1558,25.960264,-80.14118,2.0
HOLLYWOOD 959 LEVEL 2 - 02,34.088456,-118.333612,2.0
6263 TOPANGA SPACE 54,34.185131,-118.607187,1.0
855 MAIN ST ACCLAIM 2,37.485532,-122.225529,1.0
REVERE CAMPBELL STATION 2,37.29177,-121.93243,2.0
1185 Hickson,45.46551135,-73.57953322,2.0
BROOKS EVCS BROOKS STA1,29.34495,-98.452324,2.0
TANGENT STATION 1,39.637547,-104.91135,2.0
HYDRO ST ANTHONY L2,51.370771,-55.599106,1.0
HIEX DELAND STATION 1,28.988595,-81.298928,2.0
RRH CLIFTON LEFT 1,42.959843,-77.135293,2.0
STARLINGSTREET N04,39.959072,-83.010177,2.0
1212 NEW YORK STATION 1,38.900028,-77.028757,2.0
Decarie Square,45.490428,-73.650335,2.0
BR STATION002,37.769763,-121.95983,2.0
Cathedral City Public Parking - Tesla Destination,33.781186,-116.465534,4.0
Windmill Market,42.6150560431604,-83.4287329238825,4.0
The Hermitage Hotel - Tesla Destination,36.163688,-86.782274,2.0
NPPD STATION 1 OGALLALA 1,41.121334,-101.71496,2.0
JPM CHASE STATION 5,40.140935,-82.996183,2.0
Hayward Mott,37.656626,-122.093452,10.0
COUNTY SONOMA VETS GV 1,38.501354,-122.998249,2.0
PATAGONIA CP VISIT LOT #3,34.280074,-119.303977,1.0
Ocean View Lodge - Tesla Destination,39.462683,-123.806348,2.0
TOWN HALL HSMS,42.23282,-70.80841,2.0
CSUSM-PS1 EV-2,33.132179,-117.157041,2.0
COURTYARD DELR STATION 2,26.459119,-80.066693,2.0
INFORMATICA STATION 11,37.510598,-122.20422,2.0
Mt. Hood Golf Lot,42.452961,-71.039644,2.0
Waterville - Hôtel de Ville,45.277597,-71.890975,1.0
Kaiser Waipio Clinic Hawaii,21.42579,-157.99713,2.0
WHITTIER CAMPUS LOT #5 WEST 1,33.924544,-117.981689,2.0
RI ENERGY MELROSE V3,41.7926,-71.419584,2.0
EastSide Parking LLC.,40.755627,-73.961468,3.0
2850 Tigertail,25.730096,-80.238971,5.0
W Fort Lauderdale - Tesla Destination,26.128385,-80.104369,3.0
Colisée de Victoriaville,46.0570993,-71.9450781,6.0
Rise Residential,25.76718,-80.19457,20.0
COMITE CIVICO CCV EV CHARGER,32.978807,-115.538571,2.0
UC IRVINE MPS 1ST FLR 06,33.650981,-117.846174,2.0
SIA E GARAGE F.2 #4,47.625006,-117.539796,2.0
"Walgreens at 34008 Hoyt Rd, Federal Way",47.2971285,-122.381656,2.0
CHUMASH SANTAYNEZMAIN1,34.604095,-120.09321,2.0
Grapevine Mills Mall,32.964876,-97.041574,4.0
Porter Street Garage,39.268595,-76.597763,1.0
HOBSON'S LANDIN SPOT 264,43.651024,-70.257378,1.0
Grayson on the Rail - East Parking,33.4472,-111.9672,2.0
EasyPark - 7th & G Garage,61.215914,-149.895848,1.0
MILAN VILLAGE VILLAGE CHARGER,41.298457,-82.60672,2.0
WOODMAN'S STORE 20 NORTH,43.048776,-89.502036,2.0
COUNTY SSA JULIAN 10,37.337713,-121.900396,1.0
OC CHARGERS HEARTLAND5-2,43.608829,-79.690713,2.0
LBA REALTY PS5 STATION 2,33.67084,-117.839704,2.0
Forestville - Bureau touristique,48.726843,-69.09808,1.0
BEST PLUS EV STATION 1,30.472812,-90.860118,1.0
MANULIFE INV STATION 1,43.763249,-79.405425,2.0
JEC BYMNTMTVN,37.383158,-84.330044,2.0
Residence Inn by Marriott Pinehurst Southern Pines - Tesla Destination,35.1728307,-79.4246222,8.0
IKEA USA COSTA MESA 3,33.690295,-117.915744,1.0
Talkeetna Cabins,62.323961,-150.115178,1.0
TERMINAL GARAGE L4N16,39.29815,-94.717064,2.0
Kitty Knight - Tesla Destination,39.36095,-75.880319,2.0
WINNETKA VILLAGE HALL,42.104747,-87.733863,1.0
OUC CAY COMMONS 01,28.424816,-81.445089,2.0
Aria Bradenton,27.49635,-82.564061,4.0
MASSDOT STATION 4,42.284345,-71.765462,1.0
Avonlea Towne Lake,34.101004,-84.536348,2.0
BRUCE POWER B10 CS3 AND 4,44.320988,-81.595141,2.0
THE VAL RETAIL PARKING,42.527428,-71.25705,1.0
Lipoa Center,20.74893,-156.45408,4.0
CITY OF EDINA CITY HALL 3,44.911316,-93.347815,2.0
One Embaracadero Center,37.794416,-122.399638,2.0
SCHATZILAND RV SCHATZILAND#3,29.813155,-97.963491,2.0
808 WEST CT4000 STATION 4,37.32331,-121.905464,2.0
YAKAMART INC. STATION 1,46.375435,-120.33262,2.0
GRAND TRAVERSE RESORT AND SPA,44.779571,-85.488206,2.0
Lincolnville General Store,44.297738,-69.107209,2.0
OMAHA OMAHA PARK 4-2,41.254196,-95.930336,2.0
Pinehurst Resort - Tesla Destination,35.19562,-79.473736,4.0
CNTYOFRIVERSIDE PERRIS FLEET,33.787582,-117.222554,2.0
Archer Hotel at Redmond Town Center - Tesla Destination,47.6804551,-122.1217694,3.0
SUNSET WALK 1 CLUBHOUSE 2,28.339848,-81.606085,2.0
Evergy - Lawrence Service Center,38.935654,-95.226631,2.0
AMZ SEA107-3,47.619715,-122.200473,2.0
SAN MANUEL P. STRUCTURE 2E,34.147848,-117.226706,2.0
MARKET 32 EV MARKET32 SAR SP,43.102972,-73.742407,2.0
COLONIALMAZDA INSPECTION BEAM,41.414036,-73.424318,1.0
PIE AE PUBACCHIGHLAND2,30.322727,-97.712799,2.0
Denny's Delano,35.79099,-119.250011,2.0
Biotope Aliments Sante,45.402114,-74.028929,1.0
Oak Hill Elementary School,33.13067,-117.049756,2.0
UM PTS PLAZA #2,39.288696,-76.623385,2.0
HOSPITAL SJHMC_6 AV 5FL,33.480478,-112.08156,2.0
Two Embarcadero Center,37.795027,-122.3985,2.0
Holiday Inn Hattiesburg,31.3492838228646,-89.3396509649644,2.0
City of St Pete Pier - 2,27.773355,-82.626369,1.0
Discovery Harbour Centre,50.033996,-125.247946,1.0
FAIRFIELD 7144 F2AIRFIELD 2,36.764429,-119.720226,1.0
Best Western Kingston - Fireside,44.246733,-76.522762,1.0
Le Parc at Brickell,25.759242,-80.197575,2.0
ESSEX PE LOFTS 01,34.044839,-118.25,2.0
Sugar Beach Resort - Tesla Destination,44.746585,-85.540394,2.0
CENTERVIEW MP STATION 01,33.684138,-117.852654,2.0
Icon Parking 11 5th Ave - Tesla Destination,40.732085,-73.995829,3.0
MBTES STATION 2,35.862716,-86.449481,1.0
Best Western Dundee,41.961207,-83.674764,1.0
NBCC - Moncton Site,46.108353,-64.829864,1.0
Holiday Inn Express,34.190348,-97.162315,2.0
Comfort Suites Conway - Tesla Destination,35.0897479,-92.419566,6.0
CCD CHARGING 1395 ELATI,39.73784,-104.994324,2.0
GARFIELD PARK GARFIELD PARK 1,41.664903,-81.35468,2.0
LODGING SUPER8 CLOVISNM,34.396045,-103.167255,2.0
Aurora Community Centre,44.003984,-79.471971,1.0
Tanger Outlets Locust Grove Chico's,33.349635044,-84.122421929,1.0
Apollo Eight LLC,47.603963,-122.324115,3.0
ADELAIDE PLACE DP DREAM 1,43.649639,-79.384591,2.0
R Place,39.243941,-114.868385,2.0
FEST FOODS GRN1,42.957546,-87.95123,2.0
Mapleview Shopping Centre,43.326579,-79.819922,3.0
MANULIFE LEVEL12-NGW1,43.672454,-79.381183,1.0
Salem West Library,44.950668,-123.048647,2.0
Park Central Hotel - Tesla Destination,37.78671,-122.402827,1.0
STATEOFUTDAS FREDHOUSE1,40.48397,-111.895563,2.0
TMCC CAMPUS TMCC RAGGIO 2,39.573098,-119.793825,2.0
Beechwood Inn - Georgia's Premier wine Country Inn - Tesla Destination,34.871496,-83.396552,1.0
WEST HARRISON STATION ONE,41.043003,-73.74776,2.0
CS CS EVC 6,44.04591,-79.48065,2.0
Strata Wynwood,25.798118,-80.194394,14.0
HOSPITAL SEQ_MAIN GAR 3,37.480796,-122.253214,2.0
COUNTY CHARCOT EV7,37.38001,-121.922019,2.0
COL CHARGER QUE,40.815356,-96.704857,2.0
IRVINE  CO  OFC 545 SND B 01,33.616378,-117.870326,2.0
FCRTA - Donny Wright Park,36.62211,-119.68587,2.0
CLIFTON CLIFTON-209,40.838148,-74.158988,2.0
CITY OF SLO LOT 4 03,35.27923,-120.660719,1.0
BLOWING ROCK BROCKOUTLET1,36.140019,-81.670725,2.0
Las Cruces City Hall - Tesla Destination,32.314574,-106.778826,2.0
Gaylord Palms Resort & Convention Center - Tesla Destination,28.34353,-81.52558,2.0
Marché Richelieu - Marché Nicolas,48.4271291114275,-64.3282390422543,1.0
CITY HALL CHARGER 2,33.91474,-117.262395,2.0
412 S MAIN ST,34.047766,-118.247409,1.0
